"setting","date","source","indicator_abbr","indicator_name","dimension","subgroup","estimate","se","ci_lb","ci_ub","population","flag","setting_average","iso3","favourable_indicator","indicator_scale","ordered_dimension","subgroup_order","reference_subgroup","whoreg6","wbincome2024","dataset_id","update"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (4 groups) (0-60+)","0-9 years",0.462717024355197,0.0070348085688673,0.448948618080868,0.476542524109637,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,1,1,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (4 groups) (0-60+)","10-17 years",0.455980046141732,0.0078155190953756,0.440694515381031,0.471348953163904,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,1,2,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (4 groups) (0-60+)","18-59 years",0.416476647702125,0.0071555512165762,0.402510606331571,0.430578059857574,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,1,3,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (4 groups) (0-60+)","60+ years",0.399841271734766,0.0084110979561423,0.383460188552782,0.416449461627871,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,1,4,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Place of residence","Rural",0.484535575263771,0.0075309653918468,0.469779610226977,0.499318553059354,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Place of residence","Urban",0.2278512567414,0.0096977313645573,0.20938819164547,0.247432819501223,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,1,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","Central",0.296104575155122,0.0150065266877101,0.267535954598611,0.326364580777218,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","Central Highlands",0.459326107994643,0.0217686299636102,0.417021872561437,0.502224795787074,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","East",0.41884277209893,0.0245845072950432,0.371529927337628,0.46769693822209,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","North",0.462073192365621,0.0159958131300797,0.430884377315691,0.49356171203896,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","North East",0.453680517399143,0.0154177423648132,0.42364203271546,0.484060082233703,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","South",0.536863278887793,0.0203832181910851,0.496725306059709,0.576529163005419,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","South East",0.443192832462436,0.020316847543341,0.403783748223554,0.48333016663421,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","West",0.477498407552647,0.018380953860282,0.44161894611459,0.513611588715458,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (2 groups) (0-18+)","0-17 years",66.9168025691949,1.3768603979017,64.1623303073637,69.5600057330622,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (2 groups) (0-18+)","18+ years",60.8130667044321,1.41526522263097,58.0044846553116,63.5518440733652,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,1,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","0-9 years",67.212955783621,1.44253756251478,64.3231727149662,69.9779186909326,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,1,1,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","10-17 years",66.4647482596201,1.38932313287401,63.686795468546,69.133185931598,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,1,2,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","18-59 years",60.9967195956543,1.39640210622299,58.225316918891,63.6988916614321,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,1,3,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","60+ years",59.0063321976034,1.82072879560789,55.3930532231565,62.5249363569201,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,1,4,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Place of residence","Rural",74.2466930062789,1.14840141142393,71.9303385843508,76.4345215207055,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Place of residence","Urban",32.4605133997904,2.01543468315608,28.6380262482209,36.532021003711,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,1,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Central",39.5970702299802,3.05227964512906,33.7908124628175,45.7121910492037,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Central Highlands",67.8296332655971,2.56934084065989,62.5970091626133,72.6500628555726,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","East",72.1820848207403,2.17194775419578,67.7283619495247,76.2368161997853,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","North",63.3541872773464,2.18869025333861,58.9646507745658,67.5327199940254,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","North East",72.6361598600641,1.46921570185291,69.6615159516731,75.4220474897275,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","South",75.3195825556155,3.52838902146666,67.773355582278,81.5790598625049,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","South East",63.8801896372852,2.48463795928599,58.8778997699124,68.5985110407582,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","West",73.8059205702844,2.18245280438297,69.305647214665,77.8571895184863,NA,"Survey used to calculate MPI: DHS",64.0897925129514,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (2 groups) (0-18+)","0-17 years",0.371754507959882,0.0106028315986635,0.351202862720928,0.392780716378023,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (2 groups) (0-18+)","18+ years",0.329163363990664,0.0098447373515181,0.31014684729048,0.348756402175265,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,1,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (4 groups) (0-60+)","0-9 years",0.372904695609511,0.0112990549269987,0.351018976101445,0.395323757837933,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,1,1,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (4 groups) (0-60+)","10-17 years",0.369998838061644,0.0100173105146796,0.350571937179287,0.389856024488896,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,1,2,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (4 groups) (0-60+)","18-59 years",0.330942034933208,0.0097947215852423,0.312016899091986,0.350430372201971,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,1,3,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (4 groups) (0-60+)","60+ years",0.311665212195744,0.0115465962763019,0.289475700683272,0.334754276313689,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,1,4,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Place of residence","Rural",0.414462992886619,0.0104301373146835,0.394160262975347,0.435060513183731,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Place of residence","Urban",0.157588351511633,0.0103041806745604,0.138411167526913,0.178870960365142,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,1,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","Central",0.199060162727555,0.0158838121971982,0.169719342059572,0.232055692264169,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","Central Highlands",0.359833847864439,0.0161320631728173,0.3288327206801,0.392050419843988,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","East",0.396031473358809,0.0151728875429378,0.366683836823995,0.426147458089831,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","North",0.346538802717629,0.0160832244884458,0.315697086561996,0.378726003203201,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","North East",0.403448145116545,0.0117569217867583,0.380612924691427,0.42670954823482,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","South",0.446608385301723,0.0410594588760504,0.368119827849946,0.527852056219026,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","South East",0.314953347823424,0.014206767972644,0.287770944798212,0.343465156324864,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2016","UNDP and OPHI","mpi","Multidimensional Poverty Index","Subnational region","West",0.427824579556397,0.0168376762390987,0.395161161963158,0.461129493707357,NA,"Survey used to calculate MPI: DHS",0.352024880662068,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (2 groups) (0-18+)","0-17 years",3.06826357205066,0.40620489581725,2.3639095780748,3.9739458627756,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (2 groups) (0-18+)","18+ years",1.64038372303028,0.19725830896848,1.29499774800692,2.07594943066117,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,1,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","0-9 years",4.27586066493731,0.52905164121295,3.34995810262774,5.44326274580713,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,1,1,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","10-17 years",2.13617998505018,0.36586213113291,1.52470146035066,2.9854561126936,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,1,2,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","18-59 years",1.50774522685106,0.19920729299127,1.16282669903168,1.95295217454117,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,1,3,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","60+ years",2.0584332604138,0.29055484294337,1.55923671878768,2.71304511840031,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,1,4,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Place of residence","Rural",3.03807785031765,0.41500406281831,2.3212700387097,3.9672456077959,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Place of residence","Urban",0.88205399828439,0.25033517749934,0.50478148030022,1.53694338252334,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,1,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Berat",0.2801363246383,0.20545501989232,0.06629211318396,1.17568091875113,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Dibër",5.10702587798533,1.51866225308099,2.82743846897856,9.05327198218158,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Durrës",0.74140414847041,0.37281144996345,0.27562271854566,1.97870265476499,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Elbasan",4.63687513389556,1.36074881157843,2.58924967425235,8.16801946132119,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Fier",0.47361671077216,0.19725430072264,0.20889285008155,1.07021960035647,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Gjirokastër",0.31321362826453,0.33676162167611,0.03782580065384,2.54254552101602,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Korçë",2.11203726074586,0.70251840561901,1.09541028926477,4.0336942688851,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Kukes",9.04715219406944,2.44682033410709,5.25782088237788,15.1313023497316,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Lezhë",1.71731049448126,1.30519756087799,0.38161766556404,7.38162147388556,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Shkodër",4.00415425270931,0.95922329907697,2.49234167737562,6.37306948000091,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Tirane",0.61297683455711,0.27660074153586,0.25237954683789,1.48114138920572,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Vlorë",0,NA,NA,NA,NA,"Survey used to calculate MPI: DHS",2.06269312659819,"ALB",0,100,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (2 groups) (0-18+)","0-17 years",0.0117137653179347,0.0016331357077308,0.0089062126282332,0.0153926122534199,NA,"Survey used to calculate MPI: DHS",0.0078036683926114,"ALB",0,1,0,0,0,"European","Upper middle income","rep_mpi","22 April 2024"
"Albania","2009","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (2 groups) (0-18+)","18+ years",0.0061613546484404,0.0007928686808062,0.0047854231023168,0.0079297494918049,NA,"Survey used to calculate MPI: DHS",0.0078036683926114,"ALB",0,1,0,0,1,"European","Upper middle income","rep_mpi","22 April 2024"
